nombre,temporada,posicion,edad,partidos,goles,asistencias,probabilidad,prediccion,etiqueta
Lucas Blondel,2023,Right-Back,26,10,2,0,0.12473153176804652,0,0
Luca Langoni,2022,Right Winger,20,23,3,1,0.12250405705971762,0,0
Lucas Blondel,2022,Right-Back,25,10,2,0,0.1207636833986338,0,0
Brian Aguirre,2024,Left Winger,21,19,1,3,0.11548513381620995,0,0
Clemente Rodríguez,2002,Left-Back,20,47,2,5,0.1066245737382748,0,0
Luis Advíncula,2023,Right-Back,33,44,0,7,0.1050335484207145,0,0
Clemente Rodríguez,2003,Left-Back,21,37,3,2,0.10155086656727802,0,0
Jesús Dátolo,2006,Left Midfield,22,34,2,2,0.10080618878377885,0,0
Claudio Morel Rodríguez,2006,Left-Back,28,45,1,6,0.10051150280389674,0,0
Pablo Mouche,2008,Left Winger,20,29,2,3,0.09680289861495454,0,0
Clemente Rodríguez,2010,Left-Back,28,27,1,3,0.09680109440108449,0,0
Exequiel Zeballos,2023,Right Winger,21,25,2,2,0.09174489372941168,0,0
Lautaro Blanco,2024,Left-Back,25,37,1,3,0.08927430447466642,0,0
Pablo Pérez,2016,Central Midfield,30,31,1,4,0.08820500997730255,0,0
Sergio Araujo,2011,Centre-Forward,19,14,1,2,0.0882017452570459,0,0
Emmanuel Más,2018,Left-Back,29,38,3,2,0.08815204981572178,0,0
Jan Hurtado,2019,Centre-Forward,19,14,1,1,0.0847401135930876,0,0
Sergio Araujo,2010,Centre-Forward,18,9,1,1,0.0839550839015336,0,0
Sebastián Villa,2022,Left Winger,26,24,1,3,0.0838476747865957,0,0
Gabriel Paletta,2007,Centre-Back,21,32,4,0,0.08352666531686181,0,0
Pol FernándezPol Fernández,2011,Central Midfield,19,8,0,2,0.08219904943591785,0,0
Cristian Erbes,2013,Defensive Midfield,23,37,2,3,0.08181680559235438,0,0
Cata DíazCata Díaz,2014,Centre-Back,34,47,3,1,0.08045822082709074,0,0
Pablo Mouche,2007,Left Winger,19,6,1,0,0.0798368681955201,0,0
Cata DíazCata Díaz,2006,Centre-Back,26,41,3,2,0.07880307025444133,0,0
Nicolás Figal,2022,Centre-Back,28,46,4,0,0.07872686189027278,0,0
Leandro Somoza,2011,Defensive Midfield,30,41,2,2,0.07703698130049835,0,0
Williams Alarcón,2024,Central Midfield,23,26,0,1,0.07575393135611279,0,0
Matías Caruzzo,2013,Centre-Back,28,6,1,0,0.07427741140267001,0,0
Hugo Ibarra,2006,Right-Back,32,41,3,1,0.07390316200464746,0,0
Juan Manuel Insaurralde,2011,Centre-Back,26,43,4,0,0.07202607040657588,0,0
